Date,Open,High,Low,Close,Volume
07/11/2025 04:00 AM,500.39,500.89,500.01,500.01,266
07/11/2025 04:01 AM,500.77,500.77,500.45,500.57,61
07/11/2025 04:02 AM,500.59,500.8,500.06,500.06,1275
07/11/2025 04:03 AM,500.43,500.43,500.43,500.43,1000
07/11/2025 04:04 AM,500.04,500.41,500,500.41,202
07/11/2025 04:07 AM,500.08,500.08,500.08,500.08,4
07/11/2025 04:08 AM,499.98,499.98,499.98,499.98,30
07/11/2025 04:09 AM,500.02,500.06,500.02,500.06,81
07/11/2025 04:10 AM,500.08,500.1,500.08,500.1,182
07/11/2025 04:17 AM,499.96,499.98,499.96,499.98,125
07/11/2025 04:18 AM,499.89,499.96,499.89,499.96,84
07/11/2025 04:19 AM,499.86,499.86,499.86,499.86,52
07/11/2025 04:20 AM,499.68,499.68,499.68,499.68,25
07/11/2025 04:22 AM,499.66,499.66,499.66,499.66,100
07/11/2025 04:24 AM,499.98,499.98,499.76,499.76,198
07/11/2025 04:25 AM,499.75,499.75,499.73,499.73,105
07/11/2025 04:35 AM,499.8,499.8,499.8,499.8,30
07/11/2025 04:40 AM,499.77,499.77,499.77,499.77,15
07/11/2025 04:46 AM,499.75,499.75,499.74,499.74,35
07/11/2025 04:47 AM,499.75,499.76,499.75,499.76,90
07/11/2025 04:48 AM,499.95,500,499.95,500,26
07/11/2025 04:50 AM,500,500,500,500,50
07/11/2025 04:52 AM,500.11,500.11,500.11,500.11,30
07/11/2025 04:56 AM,500.2,500.2,500.2,500.2,207
07/11/2025 05:00 AM,500.04,500.04,500,500,17
07/11/2025 05:01 AM,500.08,500.08,500.08,500.08,10
07/11/2025 05:02 AM,500.17,500.17,500.17,500.17,2
07/11/2025 05:15 AM,499.96,499.96,499.96,499.96,1
07/11/2025 05:19 AM,500.03,500.03,500.03,500.03,2
07/11/2025 05:20 AM,499.95,499.95,499.95,499.95,1
07/11/2025 05:25 AM,499.92,499.92,499.92,499.92,10
07/11/2025 05:29 AM,499.76,499.76,499.76,499.76,1
07/11/2025 05:30 AM,499.71,499.71,499.71,499.71,25
07/11/2025 05:34 AM,499.92,499.92,499.92,499.92,2
07/11/2025 05:42 AM,499.92,499.92,499.92,499.92,2
07/11/2025 05:57 AM,499.49,499.5,499.49,499.5,28
07/11/2025 05:58 AM,499.43,499.53,499.39,499.53,420
07/11/2025 06:00 AM,499.45,499.5,499.27,499.5,18
07/11/2025 06:01 AM,499.27,499.27,499.27,499.27,11
07/11/2025 06:03 AM,499.36,499.37,499.36,499.37,31
07/11/2025 06:05 AM,499.5,499.5,499.5,499.5,4
07/11/2025 06:06 AM,499.5,499.64,499.5,499.64,27
07/11/2025 06:11 AM,499.65,499.65,499.65,499.65,4
07/11/2025 06:13 AM,499.62,499.62,499.62,499.62,1
07/11/2025 06:21 AM,499.58,499.62,499.58,499.6,400
07/11/2025 06:22 AM,499.6,499.6,499.6,499.6,130
07/11/2025 06:28 AM,499.44,499.44,499.28,499.43,21
07/11/2025 06:32 AM,499.29,499.29,499.29,499.29,1
07/11/2025 06:35 AM,499.27,499.27,499.22,499.22,2
07/11/2025 06:36 AM,499.22,499.22,499.1,499.1,4
07/11/2025 06:37 AM,499.1,499.1,499.1,499.1,29
07/11/2025 06:38 AM,499.1,499.19,499.02,499.02,30
07/11/2025 06:39 AM,499.02,499.02,499.02,499.02,12
07/11/2025 06:40 AM,499.37,499.37,499.37,499.37,10
07/11/2025 06:41 AM,499.37,499.37,499.37,499.37,4
07/11/2025 06:45 AM,499.19,499.19,499.19,499.19,10
07/11/2025 06:48 AM,499.26,499.26,499.26,499.26,1
07/11/2025 06:52 AM,499.27,499.27,499.27,499.27,2
07/11/2025 06:53 AM,499.3,499.3,499.3,499.3,12
07/11/2025 06:55 AM,499.15,499.15,499.02,499.02,217
07/11/2025 06:57 AM,499.02,499.02,499.02,499.02,14
07/11/2025 06:59 AM,499.02,499.03,499.02,499.02,93
07/11/2025 07:00 AM,499.2,499.48,499.11,499.19,226
07/11/2025 07:02 AM,499.02,499.02,498.8,498.92,563
07/11/2025 07:03 AM,498.93,498.93,498.92,498.92,151
07/11/2025 07:05 AM,499.2,499.2,499.2,499.2,150
07/11/2025 07:08 AM,499.16,499.26,499.15,499.26,246
07/11/2025 07:09 AM,499.2,499.2,499.13,499.13,65
07/11/2025 07:10 AM,499.27,499.42,499.27,499.42,150
07/11/2025 07:19 AM,499.35,499.35,499.35,499.35,47
07/11/2025 07:20 AM,499.49,499.54,499.49,499.54,19
07/11/2025 07:21 AM,499.59,499.689,499.59,499.689,103
07/11/2025 07:23 AM,499.54,499.54,499.54,499.54,29
07/11/2025 07:24 AM,499.65,499.65,499.65,499.65,302
07/11/2025 07:27 AM,499.67,499.88,499.67,499.88,143
07/11/2025 07:29 AM,499.7,499.7,499.7,499.7,18
07/11/2025 07:30 AM,499.83,499.83,499.83,499.83,22
07/11/2025 07:31 AM,499.72,499.72,499.72,499.72,11
07/11/2025 07:33 AM,499.75,499.75,499.72,499.72,5
07/11/2025 07:36 AM,499.8,499.8,499.8,499.8,7
07/11/2025 07:37 AM,499.73,499.83,499.73,499.83,18
07/11/2025 07:39 AM,499.83,499.83,499.7,499.78,109
07/11/2025 07:40 AM,499.7,499.74,499.56,499.7,44
07/11/2025 07:41 AM,499.54,499.54,499.54,499.54,5
07/11/2025 07:44 AM,499.68,499.68,499.68,499.68,3
07/11/2025 07:45 AM,499.55,499.66,499.5,499.66,76
07/11/2025 07:46 AM,499.51,499.51,499.51,499.51,30
07/11/2025 07:50 AM,499.57,499.57,499.57,499.57,2
